candidate_id,rank,score,reasoning
CAND_0052682,1,0.9835,"strong AI/ML title (NLP Engineer); 6.6yr exp; skills: Semantic Search, FAISS, LLMs, Python; response rate 88%; open to work; 30d notice; at Aganitha, Vizag, Andhra Pradesh, India."
CAND_0079387,2,0.9831,"strong AI/ML title (AI Engineer); 6.9yr exp; skills: Python, Sentence Transformers, OpenSearch, BM25; response rate 81%; open to work; 30d notice; at Microsoft, Trivandrum, Kerala, India."
CAND_0071974,3,0.9825,"strong AI/ML title (Senior AI Engineer); 7.8yr exp; skills: Learning to Rank, Weaviate, BM25, Pinecone; response rate 76%; open to work; 45d notice; at Netflix, Vizag, Andhra Pradesh, India."
CAND_0074735,4,0.9807,"strong AI/ML title (Applied ML Engineer); 5.5yr exp; skills: RAG, Weaviate, Information Retrieval, Semantic Search; response rate 77%; open to work; 90d notice; at Rephrase.ai, Chandigarh, Chandigarh, India."
CAND_0086022,5,0.9801,"strong AI/ML title (Senior Applied Scientist); 5.3yr exp; skills: pgvector, Fine-tuning LLMs, Elasticsearch, Pinecone; response rate 55%; open to work; 0d notice; at Sarvam AI, Kolkata, West Bengal, India."
CAND_0046064,6,0.9796,"strong AI/ML title (Senior NLP Engineer); 8.9yr exp; skills: Python, Pinecone, BM25, OpenSearch; response rate 78%; open to work; 30d notice; at Salesforce, Coimbatore, Tamil Nadu, India."
CAND_0050876,7,0.9796,"strong AI/ML title (Applied ML Engineer); 6.0yr exp; skills: Qdrant, FAISS, OpenSearch, Sentence Transformers; response rate 67%; open to work; 90d notice; at Freshworks, Kolkata, West Bengal, India."
CAND_0011687,8,0.9789,"strong AI/ML title (Senior NLP Engineer); 7.8yr exp; skills: OpenSearch, FAISS, Embeddings, Weaviate; response rate 89%; open to work; 15d notice; at Niramai, Indore, Madhya Pradesh, India."
CAND_0046525,9,0.9765,"strong AI/ML title (Senior Machine Learning Engineer); 6.1yr exp; skills: Elasticsearch, Information Retrieval, LLMs, NLP; response rate 88%; open to work; 60d notice; at Genpact AI, Pune, Maharashtra, India."
CAND_0037566,10,0.9753,"strong AI/ML title (Machine Learning Engineer); 6.9yr exp; skills: Pinecone, NLP, BM25, LLMs; response rate 50%; open to work; 15d notice; at LinkedIn, Bangalore, Karnataka, India."
CAND_0006418,11,0.9752,"strong AI/ML title (Machine Learning Engineer); 5.7yr exp; skills: Semantic Search, Embeddings, Weaviate, Elasticsearch; response rate 92%; open to work; 60d notice; at Verloop.io, Gurgaon, Haryana, India."
CAND_0062247,12,0.973,"strong AI/ML title (AI Engineer); 7.3yr exp; skills: Pinecone, Qdrant, RAG, Hugging Face Transformers; response rate 78%; open to work; 30d notice; at Google, Kochi, Kerala, India."
CAND_0076163,13,0.9727,"strong AI/ML title (NLP Engineer); 6.9yr exp; skills: Weaviate, BM25, Semantic Search, Sentence Transformers; response rate 84%; open to work; 60d notice; at Ola, Chandigarh, Chandigarh, India."
CAND_0039383,14,0.9717,"strong AI/ML title (Applied ML Engineer); 7.1yr exp; skills: FAISS, Hugging Face Transformers, NLP, Elasticsearch; response rate 61%; open to work; 90d notice; at Meesho, Gurgaon, Haryana, India."
CAND_0053591,15,0.9714,"strong AI/ML title (AI Engineer); 5.3yr exp; skills: Embeddings, Milvus, OpenSearch, Sentence Transformers; response rate 81%; open to work; 60d notice; at Ola, Toronto, Canada."
CAND_0027691,16,0.9706,"strong AI/ML title (NLP Engineer); 6.5yr exp; skills: Weaviate, Embeddings, Learning to Rank, Semantic Search; response rate 68%; open to work; 15d notice; at Haptik, Pune, Maharashtra, India."
CAND_0044222,17,0.9706,"strong AI/ML title (AI Engineer); 7.7yr exp; skills: OpenSearch, Qdrant, Weaviate, NLP; response rate 60%; open to work; 60d notice; at PolicyBazaar, Vizag, Andhra Pradesh, India."
CAND_0096142,18,0.9697,"strong AI/ML title (Applied ML Engineer); 5.0yr exp; skills: Weaviate, Pinecone, Python, RAG; response rate 84%; open to work; 120d notice; at upGrad, Hyderabad, Telangana, India."
CAND_0024990,19,0.9691,"strong AI/ML title (Junior ML Engineer); 5.2yr exp; skills: OpenSearch, NLP, Milvus, Elasticsearch; response rate 83%; open to work; 60d notice; at Zoho, Trivandrum, Kerala, India."
CAND_0007412,20,0.969,"strong AI/ML title (Applied ML Engineer); 7.4yr exp; skills: Pinecone, Milvus, BM25, RAG; response rate 76%; open to work; 120d notice; at Zoho, Noida, Uttar Pradesh, India."
CAND_0016163,21,0.9686,"strong AI/ML title (Applied ML Engineer); 6.7yr exp; skills: Hugging Face Transformers, Weaviate, Embeddings, pgvector; response rate 72%; open to work; 120d notice; at Dream11, Gurgaon, Haryana, India."
CAND_0058688,22,0.9686,"strong AI/ML title (AI Engineer); 6.7yr exp; skills: Embeddings, Information Retrieval, Milvus, Semantic Search; response rate 74%; open to work; 15d notice; at Vedantu, Berlin, Germany."
CAND_0015578,23,0.968,"strong AI/ML title (AI Engineer); 5.4yr exp; skills: Embeddings, NLP, BM25, Sentence Transformers; response rate 65%; open to work; 90d notice; at Zoho, Delhi, Delhi, India."
CAND_0075249,24,0.9668,"strong AI/ML title (Applied ML Engineer); 6.2yr exp; skills: Sentence Transformers, Milvus, Fine-tuning LLMs, BM25; response rate 82%; open to work; 45d notice; at Zomato, Ahmedabad, Gujarat, India."
CAND_0005649,25,0.9659,"strong AI/ML title (Senior Data Scientist); 7.4yr exp; skills: Fine-tuning LLMs, Semantic Search, Weaviate, RAG; response rate 57%; open to work; 90d notice; at Sarvam AI, Delhi, Delhi, India."
CAND_0095528,26,0.9657,"strong AI/ML title (Senior Data Scientist); 5.3yr exp; skills: OpenSearch, Semantic Search, pgvector, Qdrant; response rate 55%; open to work; 45d notice; at Netflix, Indore, Madhya Pradesh, India."
CAND_0005538,27,0.9655,"strong AI/ML title (Senior AI Engineer); 5.9yr exp; skills: Python, Information Retrieval Systems, pgvector, Natural Language Processing; response rate 81%; open to work; 90d notice; at Adobe, Kolkata, West Bengal, India."
CAND_0010257,28,0.9632,"strong AI/ML title (Senior Data Scientist); 6.5yr exp; skills: Milvus, Python, OpenSearch, Qdrant; response rate 72%; open to work; 120d notice; at Google, Noida, Uttar Pradesh, India."
CAND_0042100,29,0.9631,"strong AI/ML title (Machine Learning Engineer); 7.3yr exp; skills: Elasticsearch, Learning to Rank, Semantic Search, Fine-tuning LLMs; response rate 87%; open to work; 90d notice; at Freshworks, Singapore, Singapore."
CAND_0055905,30,0.9623,"strong AI/ML title (Senior Machine Learning Engineer); 8.1yr exp; skills: Elasticsearch, Hugging Face Transformers, Python, LLMs; response rate 87%; open to work; 30d notice; at Flipkart, London, UK."
CAND_0051292,31,0.9607,"strong AI/ML title (Applied ML Engineer); 5.2yr exp; skills: pgvector, FAISS, LLMs, Fine-tuning LLMs; response rate 52%; open to work; 30d notice; at Freshworks, Trivandrum, Kerala, India."
CAND_0091909,32,0.9602,"strong AI/ML title (Machine Learning Engineer); 6.9yr exp; skills: LLMs, Pinecone, Qdrant, OpenSearch; response rate 65%; open to work; 45d notice; at Rephrase.ai, Bangalore, Karnataka, India."
CAND_0009691,33,0.96,"strong AI/ML title (Applied ML Engineer); 6.2yr exp; skills: Fine-tuning LLMs, Pinecone, Sentence Transformers, Qdrant; response rate 64%; open to work; 120d notice; at LinkedIn, Indore, Madhya Pradesh, India."
CAND_0003791,34,0.9599,"strong AI/ML title (ML Engineer); 6.6yr exp; skills: LLMs, Hugging Face Transformers, pgvector, Python; response rate 66%; open to work; 45d notice; at Meesho, San Francisco, USA."
CAND_0024620,35,0.9577,"strong AI/ML title (AI Engineer); 5.9yr exp; skills: Semantic Search, BM25, Information Retrieval, Python; response rate 41%; open to work; 45d notice; at PharmEasy, New York, USA."
CAND_0029671,36,0.9575,"strong AI/ML title (Data Scientist); 5.7yr exp; skills: Embeddings, Qdrant, Pinecone, Sentence Transformers; response rate 50%; open to work; 90d notice; at BYJU'S, Toronto, Canada."
CAND_0030784,37,0.9569,"strong AI/ML title (Data Scientist); 4.4yr exp; skills: Embeddings, Learning to Rank, RAG, Pinecone; response rate 90%; open to work; 90d notice; at Yellow.ai, Delhi, Delhi, India."
CAND_0078002,38,0.9564,"strong AI/ML title (Machine Learning Engineer); 6.3yr exp; skills: pgvector, NLP, Hugging Face Transformers, Weaviate; response rate 86%; open to work; 60d notice; at Meta, Coimbatore, Tamil Nadu, India."
CAND_0070398,39,0.9561,"strong AI/ML title (Machine Learning Engineer); 7.2yr exp; skills: BM25, RAG, FAISS, Embeddings; response rate 60%; open to work; 120d notice; at Genpact AI, Kochi, Kerala, India."
CAND_0099806,40,0.9547,"strong AI/ML title (AI Engineer); 4.6yr exp; skills: RAG, pgvector, FAISS, Embeddings; response rate 76%; open to work; 30d notice; at Mad Street Den, Bhubaneswar, Odisha, India."
CAND_0001819,41,0.9532,"strong AI/ML title (ML Engineer); 4.4yr exp; skills: Weaviate, RAG, pgvector, NLP; response rate 75%; open to work; 60d notice; at Genpact AI, Coimbatore, Tamil Nadu, India."
CAND_0073982,42,0.9522,"strong AI/ML title (Data Scientist); 7.0yr exp; skills: Sentence Transformers, Qdrant, RAG, FAISS; response rate 65%; open to work; 60d notice; at Dream11, Delhi, Delhi, India."
CAND_0020350,43,0.9516,"strong AI/ML title (AI Engineer); 5.8yr exp; skills: NLP, LLMs, FAISS, Fine-tuning LLMs; response rate 58%; open to work; 30d notice; at Zoho, Jaipur, Rajasthan, India."
CAND_0069905,44,0.9507,"strong AI/ML title (Applied ML Engineer); 6.6yr exp; skills: Sentence Transformers, Hugging Face Transformers, Python, Weaviate; response rate 78%; open to work; 90d notice; at Sarvam AI, Bhubaneswar, Odisha, India."
CAND_0068811,45,0.9499,"strong AI/ML title (Applied ML Engineer); 8.0yr exp; skills: Qdrant, Embeddings, pgvector, Pinecone; response rate 42%; open to work; 30d notice; at Freshworks, Pune, Maharashtra, India."
CAND_0079064,46,0.9495,"strong AI/ML title (Senior Data Scientist); 5.2yr exp; skills: OpenSearch, NLP, Semantic Search, Fine-tuning LLMs; response rate 91%; open to work; 120d notice; at Niramai, Noida, Uttar Pradesh, India."
CAND_0049831,47,0.9492,"strong AI/ML title (Computer Vision Engineer); 5.4yr exp; skills: LLMs, NLP, BM25, Embeddings; response rate 43%; open to work; 45d notice; at BYJU'S, San Francisco, USA."
CAND_0066035,48,0.9488,"strong AI/ML title (Data Scientist); 6.7yr exp; skills: Information Retrieval, NLP, LLMs, BM25; response rate 34%; open to work; 45d notice; at Razorpay, Kolkata, West Bengal, India."
CAND_0010541,49,0.9478,"strong AI/ML title (AI Research Engineer); 6.2yr exp; skills: Pinecone, Weaviate, Python, BM25; response rate 59%; open to work; 60d notice; at Wysa, Hyderabad, Telangana, India."
CAND_0004402,50,0.9477,"strong AI/ML title (AI Research Engineer); 6.0yr exp; skills: OpenSearch, Learning to Rank, Qdrant, Sentence Transformers; response rate 83%; open to work; 60d notice; at Yellow.ai, Delhi, Delhi, India."
CAND_0098288,51,0.9477,"strong AI/ML title (Junior ML Engineer); 6.7yr exp; skills: Learning to Rank, Information Retrieval, RAG, NLP; response rate 48%; open to work; 60d notice; at Vedantu, Mumbai, Maharashtra, India."
CAND_0008239,52,0.9471,"strong AI/ML title (AI Engineer); 4.0yr exp; skills: Milvus, Semantic Search, Elasticsearch, Weaviate; response rate 73%; open to work; 15d notice; at Apple, Jaipur, Rajasthan, India."
CAND_0098780,53,0.9467,"strong AI/ML title (AI Research Engineer); 5.9yr exp; skills: Semantic Search, Sentence Transformers, Milvus, Weaviate; response rate 57%; open to work; 60d notice; at Zomato, Bangalore, Karnataka, India."
CAND_0067041,54,0.9461,"strong AI/ML title (Data Scientist); 6.9yr exp; skills: Milvus, Learning to Rank, Elasticsearch, Weaviate; response rate 34%; open to work; 120d notice; at Saarthi.ai, Noida, Uttar Pradesh, India."
CAND_0006557,55,0.9439,"strong AI/ML title (NLP Engineer); 7.9yr exp; skills: Elasticsearch, OpenSearch, Weaviate, FAISS; response rate 63%; open to work; 120d notice; at Paytm, Jaipur, Rajasthan, India."
CAND_0092245,56,0.9433,"strong AI/ML title (Senior Data Scientist); 4.1yr exp; skills: Embeddings, RAG, Hugging Face Transformers, FAISS; response rate 50%; open to work; 60d notice; at Ola, Coimbatore, Tamil Nadu, India."
CAND_0027801,57,0.9425,"strong AI/ML title (NLP Engineer); 7.4yr exp; skills: FAISS, Milvus, OpenSearch, Learning to Rank; response rate 65%; open to work; 120d notice; at InMobi, Hyderabad, Telangana, India."
CAND_0011432,58,0.9424,"strong AI/ML title (Senior Data Scientist); 7.6yr exp; skills: OpenSearch, pgvector, Elasticsearch, MLOps; response rate 67%; open to work; 60d notice; at Amazon, Chennai, Tamil Nadu, India."
CAND_0092255,59,0.9417,"strong AI/ML title (ML Engineer); 5.2yr exp; skills: Weaviate, Semantic Search, OpenSearch, RAG; response rate 38%; open to work; 60d notice; at InMobi, Noida, Uttar Pradesh, India."
CAND_0049538,60,0.9401,"strong AI/ML title (Applied ML Engineer); 5.8yr exp; skills: Learning to Rank, OpenSearch, Milvus, Embeddings; response rate 72%; not marked open to work; 30d notice; at Saarthi.ai, Jaipur, Rajasthan, India."
CAND_0051004,61,0.9401,"strong AI/ML title (Senior Data Scientist); 4.7yr exp; skills: Embeddings, Semantic Search, Qdrant, Fine-tuning LLMs; response rate 41%; open to work; 15d notice; at CRED, Delhi, Delhi, India."
CAND_0063862,62,0.9395,"strong AI/ML title (ML Engineer); 5.3yr exp; skills: OpenSearch, Semantic Search, Learning to Rank, Milvus; response rate 82%; open to work; 120d notice; at Tech Mahindra, Kolkata, West Bengal, India."
CAND_0013393,63,0.9386,"strong AI/ML title (ML Engineer); 5.3yr exp; skills: Embeddings, Pinecone, Qdrant, OpenSearch; response rate 33%; open to work; 60d notice; at Freshworks, Bangalore, Karnataka, India."
CAND_0033445,64,0.9385,"strong AI/ML title (ML Engineer); 6.8yr exp; skills: Information Retrieval, pgvector, Semantic Search, Hugging Face Transformers; response rate 94%; open to work; 30d notice; at Vedantu, Ahmedabad, Gujarat, India."
CAND_0003575,65,0.938,"strong AI/ML title (Data Scientist); 3.7yr exp; skills: Semantic Search, NLP, Embeddings, Elasticsearch; response rate 67%; open to work; 45d notice; at Glance, Ahmedabad, Gujarat, India."
CAND_0043228,66,0.9377,"strong AI/ML title (Applied ML Engineer); 6.8yr exp; skills: NLP, Hugging Face Transformers, Sentence Transformers, Weaviate; response rate 41%; not marked open to work; 30d notice; at Zoho, Chennai, Tamil Nadu, India."
CAND_0071939,67,0.9372,"strong AI/ML title (Data Scientist); 6.4yr exp; skills: Elasticsearch, OpenSearch, Embeddings, NLP; response rate 67%; open to work; 30d notice; at Krutrim, Pune, Maharashtra, India."
CAND_0014234,68,0.9371,"strong AI/ML title (Junior ML Engineer); 5.4yr exp; skills: pgvector, BM25, Elasticsearch, Hugging Face Transformers; response rate 49%; open to work; 30d notice; at Tech Mahindra, Indore, Madhya Pradesh, India."
CAND_0030031,69,0.9367,"strong AI/ML title (AI Engineer); 5.7yr exp; skills: Information Retrieval, Python, NLP, RAG; response rate 94%; not marked open to work; 30d notice; at Microsoft, Trivandrum, Kerala, India."
CAND_0092181,70,0.9353,"strong AI/ML title (Data Scientist); 4.6yr exp; skills: Fine-tuning LLMs, LLMs, NLP, MLOps; response rate 54%; open to work; 45d notice; at Unacademy, Mumbai, Maharashtra, India."
CAND_0017590,71,0.9347,"strong AI/ML title (AI Research Engineer); 5.1yr exp; skills: Weaviate, Semantic Search, FAISS, Sentence Transformers; response rate 56%; open to work; 45d notice; at Genpact AI, Kolkata, West Bengal, India."
CAND_0023093,72,0.9345,"strong AI/ML title (ML Engineer); 5.1yr exp; skills: Semantic Search, LLMs, Fine-tuning LLMs, Learning to Rank; response rate 84%; open to work; 90d notice; at PolicyBazaar, Seattle, USA."
CAND_0081852,73,0.9343,"strong AI/ML title (Senior Data Scientist); 5.9yr exp; skills: Semantic Search, Milvus, pgvector, Weaviate; response rate 44%; open to work; 45d notice; at Mad Street Den, Delhi, Delhi, India."
CAND_0096801,74,0.9342,"strong AI/ML title (AI Research Engineer); 4.2yr exp; skills: Weaviate, FAISS, LLMs, Milvus; response rate 57%; open to work; 30d notice; at CRED, Kolkata, West Bengal, India."
CAND_0095031,75,0.9336,"strong AI/ML title (Computer Vision Engineer); 5.7yr exp; skills: Weaviate, Hugging Face Transformers, Information Retrieval, pgvector; response rate 28%; open to work; 90d notice; at Wysa, Chandigarh, Chandigarh, India."
CAND_0007460,76,0.9334,"strong AI/ML title (AI Engineer); 4.7yr exp; skills: Embeddings, Weaviate, Information Retrieval, RAG; response rate 48%; open to work; 120d notice; at Salesforce, Pune, Maharashtra, India."
CAND_0070333,77,0.9333,"strong AI/ML title (AI Research Engineer); 4.7yr exp; skills: LLMs, FAISS, Elasticsearch, Weaviate; response rate 48%; open to work; 60d notice; at TCS, Bhubaneswar, Odisha, India."
CAND_0064904,78,0.9328,"strong AI/ML title (AI Engineer); 4.9yr exp; skills: Embeddings, Hugging Face Transformers, Elasticsearch, LLMs; response rate 78%; open to work; 90d notice; at LinkedIn, Hyderabad, Telangana, India."
CAND_0002120,79,0.9324,"strong AI/ML title (ML Engineer); 6.5yr exp; skills: RAG, Hugging Face Transformers, Information Retrieval, Pinecone; response rate 72%; open to work; 45d notice; at HCL, Berlin, Germany."
CAND_0032515,80,0.9308,"strong AI/ML title (Machine Learning Engineer); 5.1yr exp; skills: Milvus, Fine-tuning LLMs, NLP, Elasticsearch; response rate 54%; not marked open to work; 45d notice; at PharmEasy, Seattle, USA."
CAND_0051466,81,0.9308,"strong AI/ML title (AI Research Engineer); 5.3yr exp; skills: Information Retrieval, Milvus, Hugging Face Transformers, Weaviate; response rate 65%; open to work; 60d notice; at Niramai, Trivandrum, Kerala, India."
CAND_0074225,82,0.9306,"strong AI/ML title (Machine Learning Engineer); 4.3yr exp; skills: Semantic Search, Elasticsearch, Milvus, Python; response rate 91%; open to work; 120d notice; at Unacademy, Vizag, Andhra Pradesh, India."
CAND_0067322,83,0.9305,"strong AI/ML title (Data Scientist); 4.3yr exp; skills: FAISS, OpenSearch, Qdrant, LLMs; response rate 47%; open to work; 90d notice; at Nykaa, Coimbatore, Tamil Nadu, India."
CAND_0020991,84,0.93,"strong AI/ML title (Junior ML Engineer); 4.9yr exp; skills: Python, Weaviate, OpenSearch, Semantic Search; response rate 88%; open to work; 120d notice; at PhonePe, Vizag, Andhra Pradesh, India."
CAND_0047721,85,0.93,"strong AI/ML title (Senior Data Scientist); 7.0yr exp; skills: Learning to Rank, Milvus, BM25, RAG; response rate 49%; not marked open to work; 90d notice; at Microsoft, Coimbatore, Tamil Nadu, India."
CAND_0096172,86,0.9294,"strong AI/ML title (NLP Engineer); 5.2yr exp; skills: OpenSearch, Elasticsearch, Semantic Search, Python; response rate 47%; not marked open to work; 45d notice; at Krutrim, Chennai, Tamil Nadu, India."
CAND_0083790,87,0.9292,"strong AI/ML title (Data Scientist); 3.5yr exp; skills: RAG, FAISS, Weaviate, NLP; response rate 83%; open to work; 120d notice; at Verloop.io, Coimbatore, Tamil Nadu, India."
CAND_0046353,88,0.9277,"strong AI/ML title (ML Engineer); 6.4yr exp; skills: FAISS, Qdrant, BM25, NLP; response rate 73%; open to work; 120d notice; at Razorpay, Gurgaon, Haryana, India."
CAND_0033352,89,0.9275,"strong AI/ML title (Computer Vision Engineer); 5.0yr exp; skills: Fine-tuning LLMs, Sentence Transformers, Pinecone, LLMs; response rate 50%; open to work; 60d notice; at Ola, Indore, Madhya Pradesh, India."
CAND_0013613,90,0.9262,"strong AI/ML title (Machine Learning Engineer); 4.7yr exp; skills: Weaviate, Sentence Transformers, Fine-tuning LLMs, Speech Recognition; response rate 73%; open to work; 60d notice; at Adobe, Singapore, Singapore."
CAND_0057563,91,0.9258,"strong AI/ML title (NLP Engineer); 6.8yr exp; skills: RAG, Elasticsearch, OpenSearch, Hugging Face Transformers; response rate 83%; not marked open to work; 60d notice; at Locobuzz, Indore, Madhya Pradesh, India."
CAND_0035315,92,0.9255,"strong AI/ML title (Data Scientist); 4.9yr exp; skills: Semantic Search, NLP, Weaviate, BM25; response rate 62%; open to work; 120d notice; at Zoho, New York, USA."
CAND_0090584,93,0.9252,"strong AI/ML title (ML Engineer); 5.1yr exp; skills: Fine-tuning LLMs, OpenSearch, FAISS, Embeddings; response rate 64%; open to work; 120d notice; at Flipkart, Pune, Maharashtra, India."
CAND_0004972,94,0.9246,"strong AI/ML title (ML Engineer); 6.0yr exp; skills: Semantic Search, RAG, OpenSearch, pgvector; response rate 74%; not marked open to work; 90d notice; at Glance, Gurgaon, Haryana, India."
CAND_0069773,95,0.9243,"strong AI/ML title (AI Research Engineer); 6.0yr exp; skills: Sentence Transformers, pgvector, LLMs, Qdrant; response rate 28%; open to work; 120d notice; at Nykaa, Kochi, Kerala, India."
CAND_0017918,96,0.9242,"strong AI/ML title (ML Engineer); 3.2yr exp; skills: LLMs, Elasticsearch, BM25, Pinecone; response rate 67%; open to work; 60d notice; at Aganitha, Bangalore, Karnataka, India."
CAND_0098846,97,0.9242,"strong AI/ML title (AI Engineer); 7.6yr exp; skills: Hugging Face Transformers, Qdrant, Kubeflow, PEFT; response rate 62%; open to work; 45d notice; at upGrad, Indore, Madhya Pradesh, India."
CAND_0066690,98,0.9236,"strong AI/ML title (ML Engineer); 4.8yr exp; skills: Hugging Face Transformers, Sentence Transformers, pgvector, Semantic Search; response rate 88%; open to work; 30d notice; at Freshworks, Gurgaon, Haryana, India."
CAND_0032807,99,0.9235,"strong AI/ML title (Machine Learning Engineer); 4.2yr exp; skills: OpenSearch, Python, LLMs, Fine-tuning LLMs; response rate 51%; open to work; 90d notice; at CRED, Trivandrum, Kerala, India."
CAND_0023458,100,0.923,"strong AI/ML title (AI Research Engineer); 5.0yr exp; skills: FAISS, BM25, Sentence Transformers, RAG; response rate 69%; open to work; 60d notice; at BYJU'S, Chandigarh, Chandigarh, India."
